# target=instancias/bach.png T=340 iters=10000 K=32 seed=auto
iter	segundos	MSE
0	0.00307706	15391
1	0.0277015	15383
2	0.0520128	15338.4
3	0.0763334	15322.9
4	0.100437	15316.4
5	0.124545	15307.9
6	0.148806	15283.3
7	0.173436	15260.5
8	0.197831	15251.9
9	0.223125	15178.5
10	0.249349	15130.5
11	0.273485	15054.4
12	0.297389	15033.6
13	0.321616	15004.2
14	0.345917	15004
15	0.369896	14953.8
16	0.393978	14933.8
17	0.418188	14750.5
18	0.442308	14745.9
19	0.466395	14712
20	0.491353	14661.6
21	0.515843	14643.2
22	0.540035	14593.9
23	0.565589	14579.4
24	0.590331	14578.1
25	0.61568	14573.5
26	0.640475	14529.7
27	0.664924	14528.4
29	0.714873	14465.5
30	0.739969	14465.5
31	0.76473	14388
32	0.789904	14383
33	0.815463	14382.8
34	0.841306	14324.5
35	0.866362	14322.8
36	0.891746	14291.2
37	0.916292	14263
38	0.9411	14236.9
39	0.966173	14213.9
40	0.991553	14199.2
41	1.01766	14193.7
42	1.04364	14193.6
43	1.06859	14193.4
44	1.09439	14192.9
45	1.12037	14118.9
46	1.14656	14054.4
47	1.17202	14052.4
48	1.19763	13994.6
49	1.22283	13920.2
50	1.24797	13913.2
51	1.27435	13865.5
52	1.30381	13823.2
53	1.33065	13581.5
54	1.35739	13565.5
55	1.38419	13537.9
56	1.41125	13529.6
57	1.43741	13518.1
58	1.46346	13490.6
59	1.48967	13490.3
60	1.51689	13454.4
61	1.54314	13436.8
62	1.56936	13429.7
63	1.59584	13397.8
64	1.62145	13373.8
65	1.64847	13348.1
66	1.68668	13343.2
67	1.72159	13298.1
68	1.74973	13253.5
69	1.77584	13253.5
70	1.80121	13242.7
71	1.82734	13221.5
72	1.85413	13216.5
73	1.88204	13201.4
74	1.90737	13111.3
75	1.93309	13096.9
76	1.95856	13056.5
77	1.98381	13056.1
78	2.00919	12975.2
79	2.03488	12929.5
80	2.0608	12929.3
81	2.08668	12916.4
82	2.11219	12826.4
83	2.13878	12813
84	2.16453	12805.9
85	2.18991	12802.8
86	2.21531	12752.1
87	2.24146	12719.3
88	2.2668	12703.3
89	2.29257	12701.7
90	2.31788	12700.1
91	2.3433	12660.6
92	2.36882	12660.4
93	2.39628	12657.4
94	2.42449	12602.9
95	2.45385	12590.9
96	2.4811	12562.8
97	2.50681	12527.3
98	2.5325	12506.1
99	2.55821	12500.8
100	2.58369	12499.3
101	2.60889	12479.2
102	2.63624	12462
103	2.66216	12302.3
104	2.68753	12217.8
105	2.71293	12186.8
106	2.73898	12178.3
107	2.76449	12144
108	2.79055	12140.6
109	2.8165	12139.6
110	2.8426	12112.9
111	2.86824	12112.7
112	2.89367	12112
113	2.9202	12072.1
114	2.94674	12071.8
115	2.97269	12024.4
116	2.99877	12015.3
117	3.0244	12007.1
118	3.05046	12007
119	3.07636	11997.5
120	3.1021	11982.9
121	3.12792	11931
122	3.15352	11925.9
123	3.17943	11906.9
124	3.20488	11883.1
125	3.23062	11799.8
126	3.25617	11799.3
127	3.28194	11799
128	3.3079	11776.8
129	3.33387	11673
130	3.35966	11665.7
131	3.38616	11581
132	3.41548	11560.8
133	3.44389	11545.9
134	3.47066	11455.5
135	3.49759	11446.1
136	3.52466	11388.1
137	3.55155	11383.4
138	3.5779	11373.9
139	3.60465	11332
140	3.63225	11303
141	3.65981	11297.8
142	3.68623	11293.2
143	3.71344	11284.3
144	3.73996	11269.6
145	3.76699	11190.9
146	3.79383	11171.4
147	3.82136	11123.2
148	3.84815	11081.2
149	3.8757	11016.6
150	3.90278	10987
151	3.93038	10976.2
152	3.95723	10966.3
153	3.98362	10966.3
154	4.01012	10922.4
155	4.03875	10893.5
156	4.0663	10891.9
157	4.09344	10876.3
158	4.12013	10854
159	4.14669	10844.1
160	4.17423	10844
161	4.20115	10843.5
162	4.22808	10835.6
163	4.25567	10833
164	4.28323	10809.3
165	4.31144	10807.5
166	4.3379	10796.2
167	4.36502	10796.1
168	4.39184	10760
169	4.41976	10745.6
170	4.44753	10745.2
171	4.47465	10732.2
172	4.50349	10694.7
173	4.53215	10687.4
174	4.56131	10684.2
175	4.58913	10617.6
176	4.61734	10593.3
177	4.64458	10558.2
178	4.67155	10554.6
179	4.69883	10535
180	4.72697	10496
181	4.75462	10477.8
182	4.78161	10473
183	4.80934	10423.6
184	4.83651	10395.5
185	4.86433	10393.5
186	4.89199	10393.4
187	4.91977	10328.4
188	4.94844	10325.6
189	4.97617	10287.2
190	5.00344	10253.6
191	5.03306	10214.7
192	5.06054	10202.4
193	5.08769	10085.4
194	5.11703	10084
195	5.14492	10052.2
196	5.17234	10050.4
197	5.20063	10042.2
198	5.22903	9981.44
199	5.25716	9974.71
200	5.28546	9946.04
201	5.32711	9881.47
202	5.3948	9802.37
203	5.433	9664.95
204	5.46152	9620.6
205	5.48914	9619.27
206	5.51669	9514.55
207	5.54478	9500.91
208	5.57368	9497.01
209	5.60189	9487.46
210	5.63076	9467.86
211	5.66084	9457.16
212	5.69043	9454.58
213	5.7194	9369.69
214	5.74828	9365.99
215	5.77769	9362.33
216	5.80658	9300.18
217	5.83543	9183.73
218	5.86344	9177.82
