# target=instancias/pollock.png T=240 iters=5000 K=32 seed=auto
iter	segundos	MSE
0	0.00195966	11017.4
1	0.0182574	11013.1
2	0.0345087	11008.6
3	0.0507744	10976.5
4	0.0672787	10972.2
5	0.0837688	10957.5
6	0.100208	10942.5
7	0.116473	10934.9
8	0.132967	10885
9	0.14957	10852.7
10	0.166421	10808.2
11	0.184329	10782.2
12	0.201803	10781
13	0.218961	10775.5
14	0.236085	10763.7
15	0.253221	10756.8
16	0.270061	10756.7
17	0.286648	10716.6
18	0.303394	10698.9
19	0.320077	10694.4
20	0.336691	10632.4
21	0.353976	10573.6
22	0.371279	10561.6
24	0.405507	10561.6
25	0.422401	10532.8
26	0.439384	10531.5
27	0.456214	10486.2
28	0.473025	10429.5
29	0.48984	10426
30	0.507042	10419.3
31	0.524358	10375.7
32	0.541368	10360.7
33	0.558446	10342.5
34	0.575624	10330.5
35	0.592872	10329.6
36	0.611241	10308.5
37	0.628494	10245.2
38	0.646508	10228.2
39	0.664175	10224
40	0.682257	10222.1
41	0.70016	10189.3
42	0.718054	10183.5
43	0.735628	10182.9
44	0.753063	10165.9
45	0.770575	10164.5
46	0.788494	10155.9
47	0.806643	10100.8
48	0.824572	10098.1
49	0.842349	10088
50	0.860155	10056.6
51	0.877659	10038
52	0.895205	9970.19
53	0.912864	9965.05
54	0.930748	9952.38
55	0.948164	9914.72
56	0.965857	9910.27
57	0.983943	9887.69
58	1.0022	9864.25
59	1.0207	9833.27
60	1.03967	9832.09
61	1.05795	9830.39
62	1.07779	9827.67
63	1.09666	9826.38
64	1.1149	9811.23
65	1.13441	9783.53
66	1.15477	9744.73
67	1.17542	9728.97
68	1.19373	9718.32
69	1.21273	9716.78
70	1.23098	9713.88
71	1.24919	9688.4
72	1.26728	9687.56
73	1.28509	9678.63
74	1.30361	9667.6
75	1.32215	9643.25
76	1.34076	9625.05
77	1.36032	9619.7
78	1.37906	9617.43
79	1.39851	9601.54
80	1.41685	9591.64
81	1.43614	9526.57
82	1.45464	9526.25
83	1.47393	9520.22
84	1.49327	9504.72
85	1.5116	9504.4
86	1.52988	9476.95
87	1.54815	9466.71
88	1.56706	9465.87
89	1.58556	9444.41
90	1.60402	9438.38
91	1.62288	9343.63
92	1.64169	9336.02
93	1.66086	9330.53
94	1.67952	9328.06
95	1.69786	9326.26
96	1.71604	9309.96
97	1.73575	9309.94
98	1.75525	9279.29
99	1.77463	9269.27
100	1.79358	9258.82
101	1.81329	9243.96
102	1.83189	9237.11
103	1.85049	9219.38
104	1.86966	9187.48
105	1.88908	9174.76
106	1.90844	9172.74
107	1.92694	9143.92
108	1.94609	9141.92
109	1.96589	9105.9
110	1.98455	9091.31
111	2.00382	9087.26
112	2.02269	9074.26
113	2.04271	9074.22
114	2.06204	9072.23
115	2.08096	9020.63
116	2.10038	9006.77
117	2.11946	9002.17
118	2.13933	8995.25
119	2.15917	8985.69
120	2.17889	8983.19
121	2.19812	8979.74
122	2.21703	8956.05
123	2.23608	8944.79
124	2.25543	8933.12
125	2.27533	8912.99
126	2.2955	8900.21
127	2.31521	8876.84
128	2.33548	8870
129	2.3579	8852.83
130	2.37939	8849.58
131	2.40015	8805.7
132	2.42031	8801.63
133	2.43973	8801.55
134	2.45935	8792.78
135	2.48103	8790.53
136	2.50246	8765.35
137	2.52237	8761.23
138	2.54196	8757.74
139	2.56184	8755.95
140	2.5822	8719.38
141	2.60303	8711.23
142	2.62311	8650.06
143	2.6429	8643.95
144	2.66329	8638.73
145	2.68292	8629.41
146	2.70381	8617.47
147	2.72341	8603.66
148	2.74349	8597.66
149	2.76426	8558.49
150	2.78553	8543.68
151	2.80819	8534.91
152	2.83391	8532.25
153	2.85846	8530.79
154	2.8804	8514.36
155	2.90406	8504.66
156	2.92808	8492.33
157	2.95055	8478.13
158	2.97089	8477.38
159	2.99166	8472.63
160	3.01326	8471.42
161	3.03429	8439.6
162	3.05466	8409.29
163	3.07495	8396.97
164	3.09542	8375.61
165	3.11696	8365.72
166	3.13734	8363.94
167	3.15745	8346.85
168	3.17792	8344.68
169	3.19881	8331.96
170	3.21937	8290.54
171	3.23991	8283.48
172	3.26061	8272.85
173	3.28143	8261.8
174	3.30176	8258.56
175	3.32216	8247.79
176	3.34272	8240.35
177	3.36482	8179.84
178	3.38562	8178.56
179	3.40663	8158.3
180	3.42757	8143.7
181	3.44916	8120.42
182	3.47158	8084.71
183	3.49276	8051.93
184	3.51416	8035.46
185	3.53474	8032.95
186	3.55519	8032.06
187	3.57639	8013.38
188	3.59737	8008.41
189	3.61886	7993.4
190	3.63984	7969.27
191	3.66069	7966.95
192	3.68227	7918.9
193	3.70328	7881.5
194	3.7244	7874.24
195	3.74502	7872.46
196	3.76659	7854.64
197	3.78777	7834.46
198	3.80835	7826.19
199	3.82968	7816.99
200	3.8507	7800.19
201	3.8721	7798.3
202	3.89321	7772.18
203	3.91421	7747.07
204	3.93598	7746.79
205	3.95723	7731.4
206	3.97881	7715.95
