# target=instancias/klimt.png T=240 iters=5000 K=32 seed=auto
iter	segundos	MSE
0	0.00193875	9545.72
1	0.0206918	9515.65
2	0.0399906	9442.21
3	0.0586215	9433.63
4	0.0778645	9429.41
5	0.0968551	9426.71
6	0.115908	9406.56
7	0.135322	9396.19
8	0.154682	9374.09
9	0.173551	9358.85
10	0.19209	9301.37
11	0.211358	9267.17
12	0.232485	9266.56
13	0.261571	9227.68
14	0.28729	9207.98
15	0.306816	9188.3
16	0.326304	9173.68
17	0.346935	9173.54
18	0.366311	9171.06
19	0.385233	9135.4
20	0.404114	9054.33
21	0.423201	9051.7
22	0.443149	9036.95
23	0.46258	9009.47
24	0.482071	9001.66
25	0.501382	8991.79
26	0.520943	8988.67
27	0.540556	8979.74
28	0.560479	8972.58
29	0.580382	8967.25
30	0.601073	8960.82
31	0.621375	8955.85
32	0.641389	8945.88
33	0.661113	8905.57
34	0.680661	8880.05
35	0.700791	8871.69
36	0.72135	8859.95
37	0.741297	8793.55
38	0.761004	8781.67
39	0.781503	8674.86
40	0.801515	8662.21
41	0.821127	8660.84
42	0.840602	8648.26
43	0.860294	8623.52
44	0.880191	8615.83
45	0.899892	8615.22
46	0.919654	8605.36
47	0.940964	8601.52
48	0.962652	8589.9
49	0.983841	8586.91
50	1.00419	8585.99
51	1.02455	8580.18
52	1.0448	8574.18
53	1.06685	8556.12
54	1.08812	8555.84
55	1.10894	8516.33
56	1.12868	8439.97
57	1.15055	8422.98
58	1.17225	8405.78
59	1.19245	8403.7
60	1.21307	8401.21
61	1.23332	8346.99
62	1.25351	8338.21
63	1.27432	8331.43
64	1.2947	8323.68
65	1.3151	8285.51
66	1.33533	8276.89
67	1.35643	8251.59
68	1.37677	8239.12
69	1.39691	8220.71
70	1.41774	8217.17
71	1.43858	8207.38
72	1.45868	8182.09
73	1.47932	8165.34
74	1.5	8014.34
75	1.5205	7992.44
76	1.54153	7992.43
77	1.56293	7972.66
78	1.58427	7967.87
79	1.60501	7964.88
80	1.62532	7921.78
81	1.64577	7904.22
82	1.66714	7898.32
83	1.68824	7893.49
84	1.70867	7889.91
85	1.7294	7868.34
86	1.74985	7867.23
87	1.77125	7847.06
88	1.79257	7844.41
89	1.81366	7832.41
90	1.83395	7799.75
91	1.85435	7793.04
92	1.87472	7783.28
93	1.89633	7768.86
94	1.91762	7766.19
95	1.93825	7758.14
96	1.95876	7758.08
97	1.97982	7597.8
98	2.00077	7596.38
99	2.02239	7590.83
100	2.04302	7584.03
101	2.06386	7521.23
102	2.08437	7462.16
103	2.10508	7448.62
104	2.12555	7417.25
105	2.14658	7412.54
106	2.16817	7400.34
107	2.18993	7386.46
108	2.21069	7375.32
109	2.23142	7365.3
110	2.25211	7318.63
111	2.27281	7318.63
112	2.29435	7316.97
113	2.31573	7280.88
114	2.33856	7274.7
115	2.36246	7274.45
116	2.39921	7271.5
117	2.43137	7268.34
118	2.45812	7262.85
119	2.48135	7258.87
120	2.50452	7234.1
121	2.5278	7202.27
122	2.55722	7194.58
123	2.57936	7165.97
124	2.60189	7165.93
125	2.62461	7164.34
126	2.6471	7151.34
127	2.6685	7127.68
128	2.69054	7127.16
129	2.71312	7111.92
130	2.73499	7100.95
131	2.75691	7018.18
132	2.7786	7015.58
133	2.80095	7007.83
134	2.82319	6988.77
135	2.84569	6974.91
136	2.86731	6951.29
137	2.88872	6948.86
138	2.91054	6944.69
139	2.93268	6926.01
140	2.95522	6903.5
141	2.97741	6881.87
142	2.99952	6869.41
143	3.02188	6861.29
144	3.04397	6846.16
145	3.06592	6840.79
146	3.08754	6833.67
147	3.10957	6828.95
148	3.13109	6828.04
149	3.15323	6795.38
150	3.1752	6791.97
151	3.19676	6769.71
152	3.21833	6744.15
153	3.24043	6737.25
154	3.2621	6736.68
155	3.28362	6731.82
156	3.30585	6708.43
157	3.32796	6705.84
158	3.35142	6700.91
159	3.37531	6657.7
160	3.39761	6642.71
161	3.41996	6634.28
162	3.44184	6628.76
163	3.46383	6624.55
164	3.49659	6620.72
165	3.51907	6619.22
166	3.55317	6599.66
167	3.57932	6597.57
168	3.62248	6589.64
169	3.64486	6589.49
170	3.66726	6499.17
171	3.68996	6496.45
172	3.71957	6450.23
173	3.74329	6443.11
174	3.76587	6440.68
175	3.78851	6438.49
176	3.81092	6438.31
177	3.83344	6417.17
178	3.86216	6408.58
179	3.88591	6407.44
180	3.91	6405.98
181	3.93291	6402.32
182	3.95754	6401.45
183	3.98485	6399.2
184	4.01484	6398.55
185	4.04732	6365.93
186	4.0697	6357.52
187	4.09257	6355.07
188	4.11938	6354.87
189	4.14361	6353.05
190	4.16906	6280.96
191	4.1924	6258.16
192	4.21477	6254.52
193	4.23768	6252.72
194	4.26051	6215.52
195	4.28292	6213.51
196	4.3055	6213.23
197	4.32794	6208.75
198	4.35069	6200.12
199	4.37381	6195.28
200	4.39665	6179.99
201	4.41906	6161.69
202	4.44216	6154.01
203	4.46532	6151.87
204	4.48857	6139.34
205	4.51132	6118.38
206	4.53419	6116.94
207	4.55751	6115.06
208	4.5808	6114.41
209	4.60414	6105.85
210	4.62758	6094.1
211	4.65008	6089.14
212	4.67313	6076.97
213	4.69621	6064.84
214	4.71944	6059.76
215	4.74243	6051.26
216	4.76554	6049.47
217	4.78916	6032.17
218	4.81207	6020.43
219	4.83531	6020.43
220	4.85873	6008.18
221	4.88163	6006.78
222	4.90505	6006.77
223	4.92826	6006.74
224	4.95126	6006.07
225	4.97456	5991.72
226	4.99766	5943.79
227	5.02081	5942.65
228	5.04385	5936.85
229	5.06804	5936.76
230	5.09121	5935.42
231	5.11404	5928.19
232	5.13864	5927.27
233	5.16182	5927.11
234	5.18572	5925.35
235	5.20875	5910.17
236	5.23158	5908.67
237	5.25446	5859.26
238	5.2776	5856.2
239	5.30068	5819.33
240	5.32384	5808.65
241	5.34707	5798.87
242	5.36969	5740.27
243	5.39232	5731.07
