# target=instancias/dali.png T=240 iters=5000 K=32 seed=auto
iter	segundos	MSE
0	0.00171831	10660
1	0.0184645	10660
2	0.035261	10608.4
3	0.0520974	10542
4	0.068532	10539.7
5	0.085318	10538.5
6	0.102355	10530.4
7	0.119304	10423.5
8	0.135779	10417.2
9	0.152302	10417.2
10	0.169944	10407.7
11	0.186689	10407.6
12	0.203468	10398.4
13	0.220152	10382.1
14	0.236998	10346
15	0.253807	10329.1
16	0.270631	10323.9
17	0.287325	10296.1
18	0.304112	10279.9
19	0.320898	10236.5
20	0.338605	10233
21	0.355791	10216.5
22	0.37312	10209.6
23	0.39008	10169.3
24	0.407425	10165.7
25	0.424425	10155.2
26	0.441632	10135.7
27	0.459166	10131.8
28	0.476975	10106.2
29	0.494282	10102.1
30	0.511346	10097.7
31	0.528463	10006
32	0.545474	9991.1
33	0.562446	9989.93
34	0.579457	9949.93
35	0.59655	9934.76
36	0.615204	9924.83
37	0.634604	9895.61
38	0.652063	9895.28
39	0.669464	9884.11
40	0.687011	9870.47
41	0.704545	9870.09
42	0.722261	9868.63
44	0.757506	9867.91
45	0.775289	9807.42
46	0.792986	9780.28
47	0.810734	9778.84
48	0.828509	9777.21
49	0.846542	9761
50	0.864018	9723.27
51	0.881664	9711
52	0.899606	9705.61
53	0.917463	9703.55
54	0.935296	9695.88
55	0.952868	9652.03
56	0.970442	9560.83
57	0.988411	9559.6
58	1.00629	9558.99
59	1.02436	9552.65
60	1.04251	9552.55
61	1.06057	9546.43
62	1.07831	9545.91
63	1.09627	9484.72
64	1.11432	9484.7
65	1.13256	9438.1
66	1.15106	9437.88
67	1.16938	9420.23
68	1.1873	9418.47
69	1.20525	9417.04
70	1.22345	9415.03
71	1.24133	9400.87
72	1.26027	9308.61
73	1.27877	9308.57
74	1.29694	9308.18
75	1.31491	9282.11
76	1.33328	9267.82
77	1.35222	9204.29
78	1.37099	9178.75
79	1.38953	9162.98
80	1.40806	9162.92
81	1.42653	9043.58
82	1.44653	9039.74
83	1.46611	8996.01
84	1.4854	8975.85
85	1.50421	8951.49
86	1.5228	8949.36
87	1.54127	8942.83
88	1.55965	8942.04
89	1.57839	8925.75
90	1.59745	8912.73
91	1.61586	8894.5
92	1.63465	8893.14
93	1.65327	8864.81
94	1.6721	8837.56
95	1.69139	8834.88
96	1.70992	8834.66
97	1.72856	8825.67
98	1.74724	8773.33
99	1.76602	8772.64
100	1.78534	8722.16
101	1.80468	8720.83
102	1.82421	8695.75
103	1.84304	8685.54
104	1.86201	8539.47
105	1.88092	8524.61
106	1.89962	8524.5
107	1.91831	8491.13
108	1.93744	8453.28
109	1.95694	8450.16
110	1.97554	8435.26
111	1.99447	8417.12
112	2.01311	8409.74
113	2.03253	8408.74
114	2.05197	8389.2
115	2.07103	8350.31
116	2.08989	8348.44
117	2.10919	8272.39
118	2.12845	8249.28
119	2.14736	8235.26
120	2.16638	8229.27
121	2.18529	8225.33
122	2.20455	8198.81
123	2.22385	8197.05
124	2.2434	8185.91
125	2.26293	8093.67
126	2.28248	8093.55
127	2.30164	8056.72
128	2.3215	8056.3
129	2.34066	8051.83
130	2.36001	8014.15
131	2.37942	8013.51
132	2.39913	8007.85
133	2.41861	7986.01
134	2.43794	7916.99
135	2.45757	7916.24
136	2.47695	7905.22
137	2.49617	7896.47
138	2.51546	7886.24
139	2.53552	7881.05
140	2.55537	7795.3
141	2.57541	7765.26
142	2.59522	7764.98
143	2.6153	7764.4
144	2.63487	7763.81
145	2.6549	7750.82
146	2.67447	7718.8
147	2.694	7718.24
148	2.71365	7710.67
149	2.73329	7707.73
150	2.75281	7668.78
151	2.77234	7595.09
152	2.79202	7573.96
153	2.81174	7561.23
154	2.83128	7546.96
155	2.85102	7508.24
156	2.87093	7505.22
157	2.89121	7501.51
158	2.91108	7497.2
159	2.931	7485.51
160	2.95079	7470.22
161	2.97074	7465.05
162	2.9909	7457.04
163	3.01082	7438.25
164	3.03063	7437.28
165	3.05042	7434.59
166	3.07035	7428.08
167	3.09069	7426.91
168	3.11102	7409.88
169	3.13082	7409.84
170	3.15063	7409.69
171	3.17066	7409.34
172	3.19054	7408.6
173	3.21016	7384.57
174	3.23014	7375.01
175	3.25028	7372.01
176	3.27023	7371.91
177	3.29041	7370.38
178	3.31051	7362.83
179	3.33092	7347.71
180	3.35089	7347.36
181	3.37114	7346.51
182	3.39109	7346.49
183	3.41099	7286.36
184	3.43109	7281.15
185	3.45098	7274.29
186	3.47085	7243.06
187	3.49075	7243
188	3.51099	7241.69
189	3.53127	7236
190	3.55206	7233.21
191	3.57222	7226.18
192	3.59598	7205.97
193	3.61733	7055.34
194	3.63883	7033.86
195	3.65919	7032.3
196	3.67922	7020.52
197	3.69948	7005.36
198	3.71988	7001
199	3.74046	6995.87
200	3.7617	6900.62
201	3.78261	6888.87
202	3.80321	6876.78
203	3.82364	6876.57
204	3.84403	6872.3
205	3.86455	6869.17
206	3.88504	6852.5
207	3.90544	6851.28
208	3.92649	6725.91
209	3.94763	6725.46
210	3.96848	6711.98
211	3.98926	6686.13
212	4.00978	6660.15
213	4.03042	6656.77
214	4.0512	6611.11
215	4.07187	6570.87
216	4.09257	6567.56
217	4.11355	6567.43
218	4.13418	6558.15
219	4.15473	6552.27
220	4.17614	6494.19
221	4.19718	6490.56
222	4.21797	6482.39
223	4.23865	6477.13
224	4.25946	6470.57
225	4.28025	6458.98
226	4.30105	6433.26
227	4.32188	6430.72
228	4.34292	6427.79
229	4.36408	6422.78
230	4.38521	6410.72
231	4.40632	6397.86
232	4.42806	6376.75
233	4.4494	6375.43
234	4.47066	6375
235	4.49185	6373.09
236	4.51275	6370.87
237	4.5339	6362.46
238	4.55493	6359.23
239	4.57618	6342.79
240	4.59739	6340.51
241	4.61843	6340.43
242	4.63963	6305.61
243	4.66151	6296.81
244	4.68258	6290.5
245	4.70412	6289.49
246	4.72555	6289.4
247	4.74702	6283.51
248	4.76864	6280.49
249	4.78999	6280.45
250	4.81122	6275.01
251	4.83269	6274.49
252	4.85408	6273.09
253	4.8766	6257.79
254	4.89791	6239.86
255	4.91933	6233.57
256	4.94121	6228.44
257	4.96392	6201.59
258	4.98634	6176.74
259	5.00837	6165.62
260	5.03097	6161.63
261	5.05257	6125.33
262	5.0746	6119.02
263	5.09749	6088.51
264	5.12042	6086.41
265	5.14307	6079.97
266	5.16516	6057.04
267	5.18882	6047.63
268	5.21164	5946.6
269	5.23408	5937.91
270	5.25636	5933.92
271	5.27862	5818.83
272	5.30142	5772.88
273	5.32448	5771.89
274	5.3469	5733.22
275	5.36926	5728.46
276	5.39176	5728.21
277	5.41484	5714.14
278	5.43739	5714
279	5.4603	5699.45
280	5.48313	5694.35
281	5.50573	5694.24
282	5.52824	5693.08
283	5.55071	5692.54
284	5.57397	5691.93
285	5.59708	5677.31
286	5.6197	5663.88
287	5.64278	5663.03
288	5.66535	5658.78
289	5.68779	5632.7
290	5.71016	5606.61
291	5.73265	5593.89
292	5.75559	5587.46
293	5.77864	5587.4
294	5.8019	5574.02
295	5.82484	5570.15
296	5.84747	5550.58
297	5.87033	5548.74
298	5.89337	5548.29
299	5.9163	5547.72
300	5.93906	5547.28
301	5.96186	5542.2
302	5.98527	5542.15
303	6.00887	5472.14
304	6.03204	5471.56
305	6.05496	5446.68
306	6.07788	5446.27
307	6.10088	5432.42
308	6.12406	5431.8
309	6.14686	5429.51
310	6.16979	5428.97
311	6.19305	5428.77
312	6.21669	5406.95
313	6.24028	5404.41
314	6.26343	5403.82
315	6.28659	5399.69
316	6.30979	5395.98
317	6.33369	5368.38
318	6.35736	5360.79
319	6.38064	5352.25
320	6.40366	5352.17
321	6.42733	5343.7
322	6.45106	5342.28
323	6.47433	5213.35
324	6.4975	5208.85
325	6.52065	5202.69
326	6.54363	5195.77
327	6.56679	5195.45
328	6.59094	5194.91
329	6.61392	5185.61
330	6.63697	5170.08
331	6.66042	5164.11
332	6.68405	5163.15
333	6.70775	5131.47
334	6.73103	5097.94
335	6.75461	5090.03
336	6.77788	5089.54
337	6.80116	5087.12
338	6.82441	5071.16
339	6.84766	5070.07
340	6.87111	5063.8
341	6.8948	5062.78
342	6.91801	5051.67
343	6.9415	5051.66
344	6.96487	4993.55
345	6.98833	4983.88
346	7.01189	4983.27
347	7.03545	4922.22
348	7.0591	4867.67
349	7.08286	4865.8
350	7.10668	4854.21
351	7.1304	4854.14
352	7.15429	4852.09
353	7.17851	4850.97
354	7.20321	4849.35
355	7.22719	4838.37
356	7.25096	4838.06
357	7.27521	4807.28
358	7.2995	4774.1
359	7.32386	4765.24
360	7.34779	4761.2
361	7.37166	4759.35
362	7.39587	4748.72
363	7.42077	4747.41
364	7.44485	4746.41
365	7.46911	4720.19
366	7.49329	4720.14
367	7.51767	4692.12
368	7.54223	4691.41
369	7.56658	4690.36
370	7.59133	4683.73
371	7.61567	4683.24
372	7.63989	4669.39
373	7.66404	4664.77
374	7.68865	4652.47
