# target=instancias/bach.png T=340 iters=5000 K=32 seed=auto
iter	segundos	MSE
0	0.0021357	14348.6
1	0.0264854	14214.4
2	0.0509297	14180.6
3	0.0754978	14109
4	0.0999728	14012.8
5	0.124474	13998
6	0.148858	13979.7
7	0.173315	13891.7
8	0.198042	13891.3
9	0.222934	13862.6
10	0.248177	13860.5
11	0.273081	13858.6
12	0.29804	13829.9
13	0.32231	13819.3
14	0.34698	13806.1
15	0.372072	13739.5
16	0.39669	13717.6
17	0.421455	13697.1
18	0.446561	13669.8
19	0.471573	13651.7
20	0.496922	13614.6
21	0.521844	13596.1
22	0.546746	13502.7
23	0.571512	13444.2
24	0.59654	13430
25	0.622293	13414.1
26	0.647192	13402.1
28	0.697951	13278.5
29	0.722994	13272.6
30	0.748173	13268.9
31	0.773396	13268.5
32	0.799324	13264.1
33	0.825191	13179.5
34	0.850446	13151.7
35	0.875697	13148.7
36	0.900707	13131
37	0.925875	13051.3
38	0.950899	13051.3
39	0.976864	13040.1
40	1.00212	12986
41	1.028	12985.9
42	1.05342	12952.2
43	1.07893	12932.8
44	1.10436	12931.3
45	1.12975	12884.9
46	1.15529	12884.9
47	1.18102	12884
48	1.20723	12692.1
49	1.23287	12609.9
50	1.25866	12509.1
51	1.28434	12474.7
52	1.31047	12437.5
53	1.33778	12387.2
54	1.36491	12352.8
55	1.39176	12325.7
56	1.4181	12296.8
57	1.44446	12240.3
58	1.47044	12200.8
59	1.49652	12175.5
60	1.52263	12123.5
61	1.54892	12102
62	1.5755	12061
63	1.60154	12042.7
64	1.62768	12035.9
65	1.65466	11929.4
66	1.68108	11929.2
67	1.70787	11926.7
68	1.73426	11863.8
69	1.76118	11850.5
70	1.78815	11850.5
71	1.81437	11830.9
72	1.84103	11820.7
73	1.86748	11819.4
74	1.89447	11790.6
75	1.92143	11789.9
76	1.94805	11761.5
77	1.97429	11735.6
78	2.00049	11735.6
79	2.02679	11734.6
80	2.05301	11666.1
81	2.07919	11602.9
82	2.10575	11596.1
83	2.13281	11593.9
84	2.1645	11580.5
85	2.19342	11548.5
86	2.22042	11514.4
87	2.24705	11511.4
88	2.27459	11457.6
89	2.30295	11411.3
90	2.33038	11406.5
91	2.35738	11360.4
92	2.38409	11318.1
93	2.41099	11317.7
94	2.43792	11303.4
95	2.46476	11249.4
96	2.4922	11248.6
97	2.51982	11216.4
98	2.54712	11180.7
99	2.57435	11107.7
100	2.60189	11106.1
101	2.62983	11106.1
102	2.65702	11105
103	2.6839	11075.5
104	2.71096	11042.1
105	2.73808	11034.9
106	2.76521	11033.1
107	2.79291	11007.5
108	2.81998	11006.1
109	2.84713	10999.4
110	2.87456	10986.6
111	2.90206	10907.8
112	2.9294	10903.4
113	2.95679	10890.2
114	2.9846	10846.9
115	3.01201	10818.8
116	3.03946	10817.2
117	3.06674	10816.7
118	3.09419	10791.3
119	3.12181	10788.6
120	3.14919	10766
121	3.1767	10717.4
122	3.20523	10716.7
123	3.23322	10701.3
124	3.26146	10700.7
125	3.28966	10700.6
126	3.31719	10636.6
127	3.34475	10631.1
128	3.37263	10624.9
129	3.40054	10558.5
130	3.42818	10543.2
131	3.45581	10543.2
132	3.48374	10531.3
133	3.51203	10529.2
134	3.54171	10527.9
135	3.5708	10386.6
136	3.59875	10386
137	3.62664	10365.8
138	3.65514	10359.4
139	3.68343	10325.5
140	3.71146	10286.3
141	3.73934	10284.5
142	3.76734	10264.8
143	3.79556	10249
144	3.82371	10240
145	3.85177	10233.5
146	3.87965	10168
147	3.90819	10145.3
148	3.93625	10142.4
149	3.96444	10142.4
150	3.99247	10069.3
151	4.02073	10063.1
152	4.04874	10061
153	4.07682	10043.9
154	4.10505	9986
155	4.13356	9982.38
156	4.1616	9928.35
157	4.19035	9880.5
158	4.21858	9877.44
159	4.24669	9813
160	4.27478	9798.53
161	4.30316	9766.3
162	4.33163	9658.49
163	4.36015	9647.63
164	4.38881	9640.74
165	4.41751	9621.42
166	4.44596	9611.16
167	4.47469	9610.05
168	4.50346	9570.99
169	4.53191	9543.39
170	4.56055	9536.95
171	4.5892	9536.15
172	4.61786	9533.73
173	4.64685	9501.76
174	4.6763	9399.72
175	4.70527	9395.51
176	4.73406	9312.34
177	4.76278	9248.72
178	4.79137	9248.61
179	4.82024	9223.9
180	4.84888	9223.37
181	4.87757	9222.01
182	4.90642	9213.2
183	4.93536	9213.09
184	4.96417	9211.44
185	4.99328	9129.25
186	5.02215	9101.01
187	5.05099	9089.5
188	5.08003	8991.33
189	5.10914	8974.18
190	5.13823	8969.61
191	5.16757	8874.35
192	5.19651	8873.38
193	5.2255	8828.98
194	5.2547	8828.88
195	5.28365	8826.32
196	5.31281	8811.9
197	5.34181	8803.43
198	5.37102	8801.93
199	5.40071	8794.45
200	5.42991	8768.35
201	5.47357	8671.17
202	5.50907	8643.81
203	5.54305	8625.68
204	5.57792	8605.62
205	5.60744	8565.89
206	5.63746	8564.81
207	5.66747	8555.27
208	5.69679	8537.55
209	5.72752	8529.55
210	5.75815	8514.53
211	5.78744	8297.79
212	5.8171	8296.64
213	5.84675	8283.3
214	5.87646	8244.35
215	5.90649	8242.53
216	5.93596	8181.61
217	5.96546	8158.2
218	5.99517	8145.98
219	6.02463	8137.95
220	6.05471	8086.56
221	6.0844	8072.01
222	6.11409	8054.87
223	6.144	7982.51
224	6.17372	7982.12
225	6.20351	7981.8
226	6.23319	7969.31
227	6.26297	7957.19
228	6.29277	7919.22
229	6.32278	7912.4
230	6.35256	7822.45
231	6.38258	7822.45
232	6.41282	7822.34
233	6.44369	7807.77
234	6.47341	7787.01
235	6.50335	7734.03
236	6.53315	7732.22
237	6.56295	7557.07
238	6.59284	7548.65
239	6.6228	7543.81
240	6.65278	7515.39
241	6.68278	7514.64
242	6.71292	7511.52
243	6.74297	7506.23
244	6.77319	7457.49
245	6.80319	7437.86
246	6.83336	7435.87
247	6.86333	7384.73
248	6.89349	7320.76
249	6.92401	7318.91
250	6.95437	7314.85
251	6.98431	7314.39
252	7.01453	7262.11
253	7.04481	7261.92
254	7.07509	7195.64
255	7.10528	7193.83
256	7.13572	7181.92
257	7.1661	7176.32
258	7.1964	7145.04
259	7.22682	7135.8
260	7.25704	7135.69
261	7.28769	7111.91
262	7.31792	7109.96
263	7.34827	7104.87
264	7.37887	7102.57
265	7.4096	7101.81
266	7.44039	7094.77
267	7.47095	7094.38
268	7.50155	7070.45
269	7.53206	7061.03
270	7.56248	7060.98
271	7.59299	7012.12
272	7.62382	7012.11
273	7.65447	7009.15
274	7.68515	6968.02
275	7.71596	6907.81
276	7.74751	6902.63
277	7.77855	6900.44
278	7.80937	6872.33
279	7.8404	6867.86
280	7.87151	6829.45
281	7.90368	6829.45
282	7.93644	6821.27
283	7.96734	6797.42
284	7.99843	6794.67
285	8.02907	6764.07
286	8.06013	6762.11
287	8.09084	6731.64
288	8.12141	6729.03
289	8.15224	6724.28
290	8.18309	6721.85
291	8.21356	6720.78
292	8.24391	6716.99
293	8.27419	6715.38
294	8.30459	6708.53
295	8.3349	6687.97
296	8.36569	6676.65
297	8.3968	6675.47
298	8.42801	6651.64
299	8.45886	6651.1
300	8.48916	6622.6
301	8.5197	6588.96
302	8.55121	6549.81
303	8.58248	6488.12
304	8.61354	6459.62
305	8.64451	6457.31
306	8.67578	6435.95
307	8.70681	6435.45
308	8.73784	6434.54
309	8.76895	6408.29
310	8.79999	6406.94
311	8.83137	6406.91
312	8.86295	6406.91
313	8.89499	6406.81
314	8.92608	6405.57
315	8.95727	6324.77
316	8.98833	6321.64
317	9.01944	6300.56
318	9.05068	6297.62
319	9.08177	6296.33
320	9.11297	6295.69
321	9.14431	6294.04
322	9.17563	6293.87
323	9.20782	6289.95
324	9.23871	6253.76
325	9.26965	6206.14
326	9.30079	6176.11
327	9.33213	6173.84
328	9.36355	6153.23
329	9.39491	6142.58
330	9.42708	6123.06
331	9.45859	6119.39
332	9.48988	6119.32
333	9.5216	6110.57
334	9.55305	6078.96
335	9.58464	6050.76
336	9.6163	6047.93
337	9.6477	6047.78
338	9.6793	6047.45
339	9.71083	6034.37
340	9.74264	6026.06
341	9.77443	5969.56
342	9.80585	5909.87
343	9.83733	5834.96
344	9.86919	5812.03
345	9.90117	5796.34
346	9.93242	5776.16
347	9.96367	5756.17
348	9.99535	5756.17
349	10.0275	5719.99
350	10.0588	5717.91
351	10.0927	5717.73
352	10.1262	5709.06
353	10.1592	5708.59
354	10.1912	5667.59
355	10.223	5608.89
356	10.2551	5602.69
358	10.3185	5595.33
359	10.351	5575.58
360	10.3833	5559.5
361	10.4154	5555.61
362	10.4478	5517.71
363	10.4793	5509.44
364	10.5111	5505.94
365	10.5433	5499.15
366	10.5753	5491.37
368	10.6395	5472.51
369	10.6721	5471.7
370	10.7044	5463.07
371	10.7362	5463.04
372	10.7682	5460.56
373	10.8002	5426.88
374	10.8323	5423.02
375	10.8647	5417.01
376	10.8971	5410.04
377	10.9294	5396.25
378	10.9616	5396.2
380	11.0264	5390.21
381	11.0582	5389.85
382	11.0906	5373.48
383	11.1228	5367.55
384	11.1545	5366.56
385	11.1865	5364.51
386	11.2182	5364.42
387	11.25	5364
388	11.2819	5283.03
389	11.314	5250.59
390	11.3463	5230
391	11.3787	5229.43
392	11.4114	5205.58
393	11.4442	5202.34
394	11.4762	5174.63
395	11.5081	5157.29
396	11.5401	5140.39
397	11.5725	5129.08
398	11.6055	5127.08
400	11.6703	5108.23
401	11.7027	5107.43
402	11.7351	5106.95
403	11.7674	5106.26
404	11.7994	5105.66
405	11.8317	4988.67
406	11.8641	4988.23
407	11.8982	4986.98
408	11.9329	4979.88
409	11.9661	4979.18
410	11.9996	4978.96
411	12.0331	4967.53
412	12.0659	4962.21
413	12.0985	4960.45
414	12.1309	4945.53
415	12.1635	4945.25
416	12.1959	4910.77
417	12.23	4909.74
418	12.2633	4909.74
419	12.2974	4909.59
420	12.3307	4844.15
421	12.3637	4771.54
422	12.3968	4761.95
423	12.4301	4760.18
424	12.4633	4759.55
425	12.4967	4746.59
426	12.5298	4731.33
427	12.5634	4729.71
428	12.5968	4714.04
429	12.6295	4710.2
430	12.6622	4709.82
431	12.6953	4690.95
432	12.7287	4687.33
433	12.7621	4687.28
434	12.7954	4679.73
435	12.8289	4674.22
436	12.8623	4672.97
437	12.8957	4647.98
438	12.9293	4641.17
439	12.9627	4607.81
440	12.9962	4607.17
441	13.0308	4607.15
442	13.0649	4590.78
443	13.098	4581.83
444	13.1314	4567.91
445	13.1648	4563.37
446	13.1981	4562.55
447	13.2315	4556.06
448	13.2654	4554.43
449	13.2989	4552.81
450	13.3326	4550.46
451	13.3662	4533
452	13.3997	4507.55
453	13.4336	4506.5
454	13.4672	4471.66
455	13.5013	4443.07
456	13.5356	4438.38
457	13.5696	4435.72
458	13.6035	4429.72
459	13.6369	4428.31
460	13.67	4427.76
461	13.7033	4346.75
462	13.7366	4342.99
463	13.77	4342.26
464	13.8034	4310.15
465	13.8368	4310.14
466	13.8699	4309.66
467	13.903	4307.57
468	13.9365	4302.84
469	13.9697	4299.11
470	14.0039	4287.74
471	14.0385	4287.72
472	14.073	4255.84
473	14.1076	4253.81
474	14.1419	4253.29
475	14.1756	4236.08
476	14.2096	4230.56
477	14.2434	4220.3
478	14.277	4219.54
479	14.3108	4210
480	14.3447	4204.29
481	14.3788	4204.28
482	14.4128	4204.22
483	14.4466	4171.07
484	14.4808	4171.06
485	14.5168	4170.73
486	14.552	4120.91
487	14.586	4119.49
488	14.6202	4118.29
489	14.6545	4117.85
490	14.6889	4093.58
491	14.7226	4093.41
492	14.7565	4092.82
493	14.7907	4091.91
494	14.8251	4040.55
495	14.8591	4032.14
496	14.8932	4024.09
497	14.9275	3972.13
498	14.9617	3969.78
499	14.9957	3968.73
500	15.0298	3966.58
501	15.064	3963.17
502	15.098	3944.59
503	15.1321	3943.57
504	15.1664	3938.65
505	15.2007	3921.01
506	15.235	3920.34
507	15.2696	3920.15
508	15.3045	3917.4
509	15.3386	3916.33
510	15.373	3915.13
511	15.4074	3913.86
512	15.4418	3912.59
513	15.4767	3907.78
514	15.5113	3813.08
515	15.5459	3809.72
516	15.5803	3798.66
517	15.6147	3798.05
518	15.6495	3797.81
519	15.6838	3790.42
520	15.7182	3789.12
521	15.7526	3789.09
522	15.7868	3788.72
523	15.8213	3788.35
524	15.8558	3785.5
525	15.8901	3772.3
526	15.9247	3769.7
527	15.9597	3768.73
528	15.9948	3712.82
529	16.0296	3704.27
530	16.0643	3703.64
531	16.0991	3679.38
532	16.134	3668.59
533	16.1688	3651.4
534	16.2032	3650.75
535	16.2381	3649.61
536	16.2728	3647.44
537	16.3075	3641.41
538	16.342	3640.92
539	16.3765	3638.98
540	16.4113	3633.48
541	16.4465	3617.75
542	16.4815	3612.67
543	16.5166	3612.51
544	16.5515	3583.08
545	16.5872	3562.09
546	16.6226	3561.65
547	16.6581	3558.94
548	16.6963	3546.4
549	16.7359	3541.49
550	16.7717	3533.7
551	16.8074	3492.39
552	16.8429	3492.38
553	16.8786	3492.37
554	16.914	3453.22
555	16.9494	3448.22
556	16.9847	3349.61
557	17.0199	3315.51
558	17.0553	3309.62
559	17.0903	3309.27
560	17.1265	3270.22
561	17.1619	3263.67
562	17.1979	3263.44
563	17.2338	3254.19
564	17.2694	3254.1
565	17.3049	3253.77
566	17.3405	3239.39
567	17.3766	3217.44
568	17.4118	3206.28
569	17.4478	3206.1
570	17.4836	3140.22
571	17.5197	3138.72
572	17.556	3137.85
573	17.5924	3136.79
574	17.6284	3136.03
575	17.6647	3077.74
576	17.7005	3077.58
577	17.7364	3041.41
578	17.7724	3040.22
579	17.8081	3040.21
580	17.844	3036.91
581	17.8803	3036.34
582	17.9165	3031.68
583	17.9532	3029.45
584	17.9898	3026.83
585	18.0265	3026.82
586	18.0627	3025.86
587	18.0987	3016.48
588	18.1351	3006.99
589	18.1712	3001.88
590	18.2074	2999.03
591	18.2432	2997.38
592	18.2791	2984.38
593	18.3154	2983.76
594	18.352	2983.3
595	18.3893	2981.96
596	18.4262	2971.74
597	18.4627	2970.94
598	18.4988	2965.49
599	18.5349	2965.46
600	18.5709	2965.21
601	18.6078	2960.24
602	18.6441	2958.52
603	18.6805	2957.28
604	18.7172	2956.9
605	18.7532	2956.67
606	18.7896	2956.31
607	18.8257	2956.29
608	18.8628	2954.35
609	18.9005	2954.35
610	18.9388	2952.08
611	18.9757	2951.61
612	19.0125	2951.46
613	19.0495	2950.53
614	19.0864	2945.65
615	19.1328	2921.82
616	19.1702	2921.29
617	19.2072	2920.58
618	19.2441	2915.68
619	19.281	2911.14
620	19.3181	2891.28
621	19.355	2891.26
622	19.3915	2887.18
623	19.4281	2884.88
624	19.4647	2883.04
625	19.5017	2880.59
626	19.5388	2871.41
627	19.5756	2865.74
628	19.6128	2857.97
629	19.6504	2857.87
630	19.6881	2855.65
631	19.7245	2852.75
632	19.7621	2851.62
633	19.7992	2851.6
634	19.8363	2841.02
635	19.8734	2840.26
636	19.9104	2826.9
637	19.9469	2826.87
638	19.9842	2826.15
639	20.021	2826.06
640	20.0582	2824.17
641	20.0951	2813.91
642	20.133	2802.59
643	20.1701	2800.9
644	20.2082	2786.25
645	20.246	2785.71
646	20.2833	2784.91
647	20.3208	2784.53
648	20.3579	2784.29
649	20.3951	2778.48
650	20.4319	2778.11
651	20.4691	2778.09
652	20.507	2778.01
653	20.5443	2777.46
